	id	abstract
0	35313388	The genome of viruses classified as picornaviruses consists of a single monocistronic positive strand RNA. The coding capacity of these RNA viruses is rather limited, and thus they rely on the cellular machinery for their viral replication cycle. Upon the entry of the virus into susceptible cells, the viral RNA initially competes with cellular mRNAs for access to the protein synthesis machinery. Not surprisingly, picornaviruses have evolved specialized strategies that successfully allow expression of viral gene products, which we outline in this review. The main feature of all picornavirus genomes is the presence of a heavily structured RNA element on the 5´untranslated region, referred to as an internal ribosome entry site (IRES) element, which directs viral protein synthesis as well and, consequently, triggers the subsequent steps required for viral replication. Here, we will summarize recent studies showing that picornavirus IRES elements consist of a modular structure, providing sites of interaction for ribosome subunits, eIFs and a selective group of RNA-binding proteins. 
1	35313353	Circular RNAs (circRNAs) are widely involved in plant growth and development. However, the function of circRNAs in plant somatic embryogenesis (SE) remains elusive. Here, by using high-throughput sequencing, a total of 5,029 circRNAs were identified in the three stages of longan (Dimocarpus longan) early SE. Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis revealed that differentially expressed (DE) circRNA host genes were enriched in the 'non-homologous end-joining' (NHEJ) and 'butanoate metabolism' pathways. In addition, the reactive oxygen species (ROS) content during longan early SE was determined. The results indicated that ROS-induced DNA double-strand breaks (DSBs) may not depend on the NHEJ repair pathway. Correlation analyses of the levels of related metabolites (glutamate, γ-aminobutyrate and pyruvate) and the expression levels of circRNAs and their host genes involved in butanoate metabolism were performed. The results suggested that circRNAs may act as regulators of the expression of cognate mRNAs, thereby affecting the accumulation of related compounds. A competing endogenous RNA (ceRNA) network of DE circRNAs, DE mRNAs, DE long noncoding RNAs (lncRNAs) and DE microRNAs (miRNAs) was constructed. The results showed that the putative targets of the noncoding RNA (ncRNAs) were significantly enriched in the KEGG pathways 'mitogen-activated protein kinase signaling' and 'nitrogen metabolism'. Furthermore, the expression patterns of the candidate circRNAs, lncRNAs, miRNAs and mRNAs confirmed the negative correlation between miRNAs and ceRNAs. And two circRNA overexpression vectors were constructed to further verify the ceRNA network correlations in longan early SE. Our study revealed the potential role of circRNAs in longan early SE, providing new insights into the intricate regulatory mechanism underlying plant SE. 
2	35313329	Liver performs number of critical physiological functions in human system. Intoxication of liver leads to accumulation of free radicals that eventually cause damage, fibrosis, cirrhosis and cancer. Carbon tetrachloride (CCl4) belongs to hepatotoxin is converted to a highly reactive free radical by cytochrome P450 enzymes that causes liver damage. Plant extracts derived quercetin has substantial role in hepatoprotection. This study highlights the possible mechanism by which quercetin plays significant role in hepatoprotection. HPLC analysis revealed the abundance of quercetin in the fruit extracts of Gynocardia odorata and Diospyros malabarica, were isolated, purified and subjected to liver function analysis on Wistar rats. Post quercetin treatment improved liver function parameters in the hepatotoxic Wistar rats by augmenting bilirubin content, SGOT and SGPT activity. Gene expression profile of quercetin treated rats revealed down regulation of HGF, TIMP1 and MMP2 expressed during CCl4 induction. In silico molecular mechanism prediction suggested that quercetin has a high affinity for cell signaling pathway proteins BCL-2, JAK2 and Cytochrome P450 Cyp2E1, which all play a significant role in CCl4 induced hepatotoxicity. In silico molecular docking and molecular dynamics simulation have shown that quercetin has a plausible affinity for major signaling proteins in liver. MMGBSA studies have revealed high binding of quercetin (ΔG) -41.48±11.02, -43.53±6.55 and -39.89±5.78 kcal/mol, with BCL-2, JAK2 and Cyp2E1, respectively which led to better stability of the quercetin bound protein complexes. Therefore, quercetin can act as potent inhibitor against CCl4 induced hepatic injury by regulating BCL-2, JAK2 and Cyp2E1. 
3	35313235	Hemophilia B (HB) is a hereditary bleeding disorder caused by the genetic variation of the coagulation factor IX (FIX) gene (F9). Several F9 structural abnormalities, including large deletion and/or insertion, have been observed to cause HB development. However, there is limited information available on F9 deep intronic variations. In this study, we report about a novel large deletion/insertion observed in a deep region of F9 intron 1 that causes mRNA splicing abnormalities. The patient was a Japanese male diagnosed with moderate HB (FIX:C = 3.0 IU/dL). The genomic DNA of the patient was isolated from peripheral blood leukocytes. DNA sequences of F9 exons and splice donor/acceptor sites were analyzed via polymerase chain reaction and Sanger sequencing. Variant-affected F9 mRNA aberration and FIX protein production, secretion, and coagulant activity were analyzed by cell-based exon trap and splicing-competent FIX expression vector systems. A 28-bp deletion/476-bp insertion was identified in the F9 intron 1 of a patient with moderate HB. A DNA sequence identical to a part of the inverted HNRNPA1 exon 12 was inserted. Cell-based transcript analysis revealed that this large intronic deletion/insertion disrupted F9 mRNA splicing pattern, resulting in reduction of protein-coding F9 mRNA. A novel deep intronic F9 rearrangement was identified in a Japanese patient with moderate HB. Abnormal F9 mRNA splicing pattern due to this deep intronic structural variation resulted in a reduction of protein-coding F9 mRNA, which probably caused the moderate HB phenotype. 
4	35313230	Autism spectrum disorder (ASD) is a neurodevelopmental condition characterized by altered social communication, restricted interests, and stereotypic behaviors. Although the molecular and cellular pathogeneses of ASD remain elusive, impaired neural stem cell differentiation and neuronal migration during cortical development are suggested to be critically involved in ASD. ANK2, which encodes for a cytoskeletal scaffolding protein involved in recruiting membrane proteins into specialized membrane domains, has been identified as a high-confidence ASD risk gene. However, the role of ANK2 in early neural development remains unclear. In this study, we analyzed the role of ANK2 in the cerebral cortex of developing mouse using in utero electroporation. We provide evidence suggesting that ANK2 regulates neural stem cell differentiation and neuronal migration in the embryonic cerebral cortex, where Ank2 is highly expressed. We also demonstrated that Ank2 knockdown alters the expression of genes involved in neural development. Taken together, these results support the view that ANK2 haploinsufficiency in patients may impair neural development, resulting in an increased risk of ASD. Our study findings provide new insights into the molecular and cellular pathogenesis of ASD, given that among high-confidence ASD genes, ANK2 is rare in that it encodes for a scaffolding protein for the membrane protein complex required for neuronal functions. 
5	35313200	Social motivation and reward are dynamic and flexible, shifting adaptively across contexts to meet changing social demands. This is exceptionally apparent when seasonal contexts are considered in seasonally breeding songbirds as they cycle from periods of sexual motivation and reward during the breeding season to periods of extreme gregariousness outside the breeding season when non-sexual social interactions gain reward value, motivating birds to form flocks. Here we review evidence demonstrating a key integrative role for the medial preoptic area (mPOA) in the seasonally-appropriate adjustment of behaviors, with seasonal changes in dopamine activity in mPOA adjusting social motivation and changes in opioid activity modifying social reward. Experiments demonstrate that dramatic seasonal fluctuations in steroid hormone concentrations alter patterns of opioid- and dopamine-related protein and gene expression in mPOA to modify social motivation and reward to meet seasonal changes in social demands. These studies of birdsong and seasonality provide new insights into neural and endocrine mechanisms underlying adaptive changes in social motivation and reward and highlight an underappreciated, evolutionarily conserved role for the mPOA in important social behaviors in non-reproductive contexts. 
6	35313160	Cadmium (Cd) is a harmful element that affects plant growth and development. Genetic improvements could be applied for enhancing Cd tolerance and accumulation in plants. Here, a novel Cd stress-induced gene, NtNRAMP3, was identified in tobacco. We constructed two NtNRAMP3-knockout (KO) tobacco lines using the CRISPR/Cas9 system, which enhanced Cd tolerance and Cd accumulation in tobacco leaves compared with those in the wildtype (WT). Subcellular localization analysis suggested that NtNRAMP3 is a tonoplast protein and GUS (β-glucuronidase) histochemical analysis showed that NtNRAMP3 is highly expressed in the conductive tissue of leaves. NtNRAMP3-KO tobacco showed reduced Cd translation from vacuole to cytosol in leaves compared with the WT, and its vacuolar Cd concentration was significantly higher (20.78-22.81%) than that in the WT; in contrast, Cd concentration in the cytosol was reduced by 13.72-20.15%, preventing chlorophyll degradation and reducing reactive oxygen species accumulation in the leaves. Our findings demonstrate that NtNRAMP3 is involved in regulating Cd subcellular distribution (controlling Cd transport from vacuoles to the cytosol) and affects Cd tolerance and its accumulation in tobacco. This provides a key candidate gene to improve the phytoremediation efficiency of plants via genetic engineering. 
7	35313079	Squamous and anaplastic thyroid cancers are the most aggressive and life-threatening cancer types in humans, with lymph node involvement in 59% of cases and distant metastases in 26% of cases of all thyroid cancers. The median survival of squamous thyroid cancer patients is less than eight months and therefore of high clinical concern. Here we show that both VEGFC and VEGFR2/KDR are overexpressed in thyroid cancers, indicating that VEGF/VEGFR signaling plays a carcinogenic role in thyroid cancer development. Using CRISPR/Cas9, we established a KDR knockout (KO) SW579 squamous thyroid cancer cell line that exhibited dramatically decreased colony formation and invasion abilities (30% and 60% reduction, respectively) when compared to scrambled control cells. To validate the potential of KDR as a therapeutic target for thyroid cancers, we used the KDR RTK inhibitor sunitinib. Protein analysis and live/dead assay were performed to demonstrate that sunitinib significantly inhibited cell growth signal transduction and induced cell apoptosis of SW579 cells. These results suggest that selective targeting of KDR may have potential for development into novel anti-cancer therapies to suppress VEGF/VEGFR-mediated cancer development in patients with clinical advanced thyroid cancer. 
8	35313031	Photomorphogenic remodelling of seedling growth is a key developmental transition in the plant life cycle. The α/β-hydrolase signalling protein KARRIKIN-INSENSITIVE2 (KAI2), a close homologue of the strigolactone receptor DWARF14 (D14), is involved in this process, but it is unclear how the effects of KAI2 on development are mediated. Here, using a combination of physiological, pharmacological, genetic and imaging approaches in Arabidopsis thaliana (Heynh.) we show that kai2 phenotypes arise because of a failure to downregulate auxin transport from the seedling shoot apex towards the root system, rather than a failure to respond to light per se. We demonstrate that KAI2 controls the light-induced remodelling of the PIN-mediated auxin transport system in seedlings, promoting a reduction in PIN7 abundance in older tissues, and an increase of PIN1/PIN2 abundance in the root meristem. We show that removing PIN3, PIN4 and PIN7 from kai2 mutants, or pharmacological inhibition of auxin transport and synthesis, is sufficient to suppress most kai2 seedling phenotypes. We conclude that KAI2 regulates seedling morphogenesis by its effects on the auxin transport system. We propose that KAI2 is not required for the light-mediated changes in PIN gene expression but is required for the appropriate changes in PIN protein abundance within cells. 
9	35313030	Resolution of pathways that converge to induce deleterious effects in hepatic diseases, such as in the later stages, has potential anti-fibrotic effects that may improve outcomes. To explore whether humans and rodents display similar fibrotic signaling networks, we assiduously mapped kinase pathways using 340 substrate targets, upstream bioinformatic analysis of kinase pathways, and over 2000 random sampling iterations using the PamGene PamStation kinome microarray chip technology. Using this technology, we characterized a large number of kinases with altered activity in liver fibrosis of both species. Gene expression and immunostaining analyses validate many of these kinases as bona fide signaling events. Surprisingly, the insulin receptor (INSR) emerged as a considerable protein tyrosine kinase (PTK) that is hyperactive in fibrotic liver disease in humans and rodents. Discoidin domain receptor tyrosine kinase (DDR), activated by collagen that increases during fibrosis, was another hyperactive PTK in humans and rodents with fibrosis. The serine/threonine kinases (STK) found to be the most active in fibrosis were DM1 protein kinase (DMPK) and members of the protein kinase (PK) family of kinases. We compared the fibrotic events over four models: humans with cirrhosis and three murine models with differing levels of fibrosis, including two models of fatty liver disease with emerging fibrosis. The data demonstrate a high concordance between human and rodent hepatic kinome signaling that focalizes, as shown by our network analysis of detrimental pathways. Our findings here establish the first comprehensive kinase atlas for liver fibrosis, which identifies analogous signaling events conserved among humans and rodents. 
